,STATE_NAME,YEAR,QUADRANT,TOP_DISTRICT_NAME,DISTRICT_REGISTERED_USERS_COUNT,TOP_PINCODE,PINCODE_REGISTERED_USERS_COUNT
0,Mizoram,2018,1,Aizawl,4550.0,796005,1339
1,Mizoram,2018,1,Lunglei,879.0,796009,1181
2,Mizoram,2018,1,Kolasib,486.0,796012,662
3,Mizoram,2018,1,Lawngtlai,474.0,796701,515
4,Mizoram,2018,1,Champhai,358.0,796017,393
5,Mizoram,2018,1,Mamit,316.0,796014,301
6,Mizoram,2018,1,Serchhip,299.0,796008,296
7,Mizoram,2018,1,Saiha,231.0,796321,280
8,Lakshadweep,2018,1,Lakshadweep,501.0,682555,175
9,Meghalaya,2018,1,East Khasi Hills,9310.0,793001,2493
10,Meghalaya,2018,1,West Garo Hills,3671.0,793002,1386
11,Meghalaya,2018,1,Ribhoi,1891.0,794001,1033
12,Meghalaya,2018,1,East Jaintia Hills,1419.0,793210,999
13,Meghalaya,2018,1,West Jaintia Hills,736.0,793011,943
14,Meghalaya,2018,1,South Garo Hills,343.0,793101,908
15,Meghalaya,2018,1,South West Garo Hills,299.0,794105,855
16,Meghalaya,2018,1,West Khasi Hills,299.0,794101,752
17,Meghalaya,2018,1,North Garo Hills,254.0,793007,646
18,Meghalaya,2018,1,East Garo Hills,236.0,793004,613
19,Chhattisgarh,2018,1,Raipur,135308.0,492001,33697
20,Chhattisgarh,2018,1,Durg,91516.0,495001,31414
21,Chhattisgarh,2018,1,Bilaspur,68704.0,497001,17641
22,Chhattisgarh,2018,1,Raigarh,51628.0,491001,16037
23,Chhattisgarh,2018,1,Janjgir Champa,42297.0,496005,14858
24,Chhattisgarh,2018,1,Korba,39075.0,490023,14149
25,Chhattisgarh,2018,1,Rajnandgaon,26295.0,490006,13820
26,Chhattisgarh,2018,1,Surguja,22001.0,491441,13502
27,Chhattisgarh,2018,1,Baloda Bazar,21747.0,492009,12380
28,Chhattisgarh,2018,1,Mahasamund,19608.0,495450,11340
29,Karnataka,2018,1,Bengaluru Urban,1922368.0,560068,98487
30,Karnataka,2018,1,Mysuru,150799.0,560037,75304
31,Karnataka,2018,1,Belagavi,140320.0,560076,65302
32,Karnataka,2018,1,Dharwad,106877.0,560100,61796
33,Karnataka,2018,1,Ballari,103566.0,560078,61759
34,Karnataka,2018,1,Bengaluru Rural,87955.0,560043,48734
35,Karnataka,2018,1,Dakshina Kannada,87491.0,560066,46324
36,Karnataka,2018,1,Tumakuru,82955.0,560064,42625
37,Karnataka,2018,1,Kalaburagi,81933.0,560058,42501
38,Karnataka,2018,1,Vijayapura,68814.0,560103,42384
39,Odisha,2018,1,Khordha,308390.0,751024,20624
40,Odisha,2018,1,Cuttack,135972.0,751012,19414
41,Odisha,2018,1,Ganjam,126158.0,751002,19137
42,Odisha,2018,1,Baleshwar,100919.0,760001,18195
43,Odisha,2018,1,Jajapur,81133.0,751006,17601
44,Odisha,2018,1,Sundargarh,75201.0,756001,17451
45,Odisha,2018,1,Puri,69923.0,751003,16391
46,Odisha,2018,1,Kendujhar,58968.0,751019,14672
47,Odisha,2018,1,Bhadrak,58050.0,751013,14292
48,Odisha,2018,1,Anugul,56617.0,751007,14267
49,Kerala,2018,1,Ernakulam,159188.0,682042,6594
50,Kerala,2018,1,Malappuram,86063.0,682024,5559
51,Kerala,2018,1,Kozhikode,83422.0,695001,4654
52,Kerala,2018,1,Thiruvananthapuram,81846.0,682025,4572
53,Kerala,2018,1,Thrissur,67247.0,682020,4402
54,Kerala,2018,1,Kannur,54093.0,682035,4009
55,Kerala,2018,1,Palakkad,51507.0,673032,3987
56,Kerala,2018,1,Kottayam,43142.0,682032,3908
57,Kerala,2018,1,Kollam,41946.0,682301,3613
58,Kerala,2018,1,Alappuzha,39275.0,673016,3347
59,Goa,2018,1,North Goa,57769.0,403516,6466
60,Goa,2018,1,South Goa,34167.0,403601,5251
61,Uttarakhand,2018,1,Dehradun,147998.0,248001,43810
62,Uttarakhand,2018,1,Haridwar,104823.0,263153,29988
63,Uttarakhand,2018,1,Udham Singh Nagar,100236.0,263139,27575
64,Uttarakhand,2018,1,Nainital,49083.0,249403,21416
65,Uttarakhand,2018,1,Pauri Garhwal,20425.0,247667,19733
66,Uttarakhand,2018,1,Tehri Garhwal,13030.0,244713,16234
67,Uttarakhand,2018,1,Almora,11367.0,248007,13798
68,Uttarakhand,2018,1,Pithoragarh,8836.0,263148,10414
69,Uttarakhand,2018,1,Chamoli,7493.0,249404,9525
70,Uttarakhand,2018,1,Uttarkashi,5816.0,248008,9462
71,Punjab,2018,1,Ludhiana,168625.0,143001,43359
72,Punjab,2018,1,Sas Nagar,121113.0,141008,22225
73,Punjab,2018,1,Patiala,66507.0,140603,18219
74,Punjab,2018,1,Amritsar,59685.0,140301,17469
75,Punjab,2018,1,Jalandhar,57808.0,141001,17181
76,Punjab,2018,1,Bathinda,52466.0,147001,16257
77,Punjab,2018,1,Fazilka,44823.0,151001,14526
78,Punjab,2018,1,Sangrur,37485.0,152116,14095
79,Punjab,2018,1,Hoshiarpur,25348.0,141003,13657
80,Punjab,2018,1,Gurdaspur,21372.0,140308,12084
81,Andhra Pradesh,2018,1,Visakhapatnam,497187.0,517501,39884
82,Andhra Pradesh,2018,1,East Godavari,350356.0,530016,34201
83,Andhra Pradesh,2018,1,Krishna,323673.0,517507,34111
84,Andhra Pradesh,2018,1,Guntur,317065.0,515001,31964
85,Andhra Pradesh,2018,1,Chittoor,309541.0,516001,29078
86,Andhra Pradesh,2018,1,Anantapur,241192.0,518002,29043
87,Andhra Pradesh,2018,1,Kurnool,240133.0,530026,26889
88,Andhra Pradesh,2018,1,West Godavari,213335.0,516360,26187
89,Andhra Pradesh,2018,1,Spsr Nellore,194475.0,520010,24397
90,Andhra Pradesh,2018,1,Prakasam,189949.0,524002,23439
91,Tamil Nadu,2018,1,Chennai,292004.0,600100,19254
92,Tamil Nadu,2018,1,Thiruvallur,215622.0,602105,17170
93,Tamil Nadu,2018,1,Chengalpattu,215210.0,641602,17139
94,Tamil Nadu,2018,1,Coimbatore,170306.0,635109,16386
95,Tamil Nadu,2018,1,Kancheepuram,136352.0,600042,16188
96,Tamil Nadu,2018,1,Salem,88288.0,600003,16113
97,Tamil Nadu,2018,1,Tiruppur,87652.0,600119,15020
98,Tamil Nadu,2018,1,Madurai,72582.0,600056,14894
99,Tamil Nadu,2018,1,Krishnagiri,66958.0,600053,13947
100,Tamil Nadu,2018,1,Tiruchirappalli,62230.0,600097,13934
101,Arunachal Pradesh,2018,1,Papum Pare,7649.0,791110,2316
102,Arunachal Pradesh,2018,1,West Kameng,2202.0,791111,2203
103,Arunachal Pradesh,2018,1,East Siang,1803.0,791113,1475
104,Arunachal Pradesh,2018,1,Tawang,1525.0,791102,1471
105,Arunachal Pradesh,2018,1,Changlang,1208.0,790104,1139
106,Arunachal Pradesh,2018,1,Lohit,1207.0,791001,969
107,Arunachal Pradesh,2018,1,West Siang,846.0,791109,857
108,Arunachal Pradesh,2018,1,Namsai,737.0,792103,829
109,Arunachal Pradesh,2018,1,Lower Dibang Valley,601.0,792001,828
110,Arunachal Pradesh,2018,1,Upper Subansiri,572.0,790116,766
111,Chandigarh,2018,1,Chandigarh,86268.0,160101,11805
